outlet_name,open_mon,close_mon,open_tue,close_tue,open_wed,close_wed,open_thu,close_thu,open_fri,close_fri,open_sat,close_sat,open_sun,close_sun,open_time,close_time,open_hours_daily,has_varying_hours
Bukit Merah Betting Centre - Lottery Lobby (Public),10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,8.0,0
7-Eleven Store Upper Thomson Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Clementi Street 11,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Erskine Rd,,,,,,,,,,,,,,,,,0.0,0
7-Eleven Balestier Rd,,,,,,,,,,,,,,,,,0.0,0
Xie Sheng Departmental Service Company - City Plaza,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Thiam Hoon Traders,,,,,,,,,,,,,,,,,0.0,0
The Little Plaza,,,,,,,,,,,,,,,,,0.0,0
Tampines Rovers Football Club,,,,,,,,,,,,,,,,,0.0,0
STC Racecourse - Kranji 1,,,,,,,,,,,,,,,,,0.0,0
Singapore Pools Woodlands Centre,,,,,,,,,,,,,,,,,0.0,0
Singapore Pools Upp Serangoon Branch,,,,,,,,,,,,,,,,,0.0,0
Singapore Pools Rochor Centre Branch,8.00 am,9.00 pm,8.00 am,9.00 pm,8.00 am,9.00 pm,8.00 am,9.00 pm,8.00 am,9.00 pm,8.00 am,9.00 pm,8.00 am,9.00 pm,8.00 am,9.00 pm,13.0,0
