outlet_name,open_mon,close_mon,open_tue,close_tue,open_wed,close_wed,open_thu,close_thu,open_fri,close_fri,open_sat,close_sat,open_sun,close_sun,open_time,close_time,open_hours_daily,has_varying_hours
Cheers Harbourfront Centre,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Woodlands N5 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Toa Payoh Lorong 8 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools New Upper Changi Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Lorong 25A Geylang Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Jurong West N4 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Clementi Town Centre Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Bedok Town Centre Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Lot 1 Shoppers' Mall,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Nan Huat Wine Store,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Evercool Engineering,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Tan Boon Tin Agency,,,,,,,,,,,,,,,,,0.0,0
Singapore Pools Pasir Ris N2 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Ang Mo Kio N7 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Ang Mo Kio N2 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Seah Geok Eng Agency - Rivervale Plaza,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice White Sands,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Sun Plaza,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Jurong Point,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,13.5,0
NTUC FairPrice Bedok North Street 4,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Giant Sunshine Place,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cheers Hougang Central,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Vitatron & Medical Co,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Teo Sook Cheng Agency,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Soh Choo Trading,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Tampines N4 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Serangoon Central Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Potong Pasir Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Lucky Plaza Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Holland Drive Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Bukit Panjang Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Bishan N2 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Ang Mo Kio N4 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Anchorvale Road Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Seah Koon Huat - Bukit Merah View,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Prime Punggol Field,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Tanjong Pagar Plaza,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Bukit Merah Central,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Metro Woodlands,10.30 am,8.00 pm,10.30 am,8.00 pm,10.30 am,8.00 pm,10.30 am,8.00 pm,10.30 am,8.00 pm,10.30 am,8.00 pm,10.30 am,8.00 pm,10.30 am,8.00 pm,9.5,0
Livewire (Resorts World Sentosa),,,,,,,,,,,,,,,,,0.0,0
Kis Store,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,10.0,0
Clifford Gift Shop,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cheers Changi Village Road,,,,,,,,,,,,,,,,,0.0,0
7-Eleven Store Owen Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Xie Sheng Departmental Service Company,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Woodlands N3 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools LOT One Branch,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,11.0,0
Singapore Pools Jurong West N2 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Jurong East Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Hougang N3 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch,,,,,,,,,,,,,,,,,0.0,0
Singapore Pools Funan Branch,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,11.0,0
Singapore Pools Circuit Road 64 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Bukit Batok Central Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Ang Mo Kio N6 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Yishun Ring Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Serangoon North Avenue 1,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Havelock Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Changi Business Park,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Ng Nam Thye Trading - Taman Jurong,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Li Thoe Trading,,,,,,,,,,,,,,,,,0.0,0
Li Li Cheng Supermarket (Punggol) Pte Ltd,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Cold Storage Compass One,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,10.5,0
Chua Yan Kee,8.00 am,6.30 pm,8.00 am,6.30 pm,8.00 am,6.30 pm,8.00 am,6.30 pm,8.00 am,6.30 pm,8.00 am,6.30 pm,8.00 am,6.30 pm,8.00 am,6.30 pm,10.5,0
Chng Siow Eng Agency,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cheng Tai Boon Beng,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cheng Chew Wah Agency - Marine Terrace,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store McCallum Street,8.00 am,6.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,10.86,1
Wong Teck Chow Enterprise (Private) Limited,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,10.0,0
U Stars Sumang Walk,,,,,,,,,,,,,,,,,0.0,0
Tuck Lee Long,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Tay Ah Tho Trading,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Tan Kai Huat Provision Shop,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Sim Lim Square Branch,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,11.0,0
Singapore Pools Silat Avenue Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Siglap Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Choa Chu Kang Branch,,,,,,,,,,,,,,,,,0.0,0
Singapore Pools Chinatown Point Branch,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,11.0,0
Singapore Pools Chin Swee Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Cheong Chin Nam Road Branch,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,11.0,0
Singapore Pools Beo Crescent Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Sheng Siong Junction 9,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Prime Chai Chee Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Overseas Emporium (Private) Limited,9.30 am,7.00 pm,9.30 am,7.00 pm,9.30 am,7.00 pm,9.30 am,7.00 pm,9.30 am,7.00 pm,9.30 am,7.00 pm,9.30 am,7.00 pm,9.30 am,7.00 pm,9.5,0
OCN (Singapore) Pte Ltd,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Xpress Macpherson Road,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Marsiling MRT Station,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Lorong 4 Toa Payoh,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Joo Koon,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,11.0,0
NTUC FairPrice Jem,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,9.00 am,8.00 pm,11.0,0
NTUC FairPrice Boon Lay Place,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Nel's Store,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Nalayanee Trading Enterprise,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,10.5,0
Lucky Hill,,,,,,,,,,,,,,,,,0.0,0
Kim Chwee Trading,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Hin Teck Leong Trading Company - Rowell Road,,,,,,,,,,,,,,,,,0.0,0
Giant Parkway Parade,,,,,,,,,,,,,,,,,0.0,0
Everstream Trading,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Dawn Florist,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cold Storage Northpoint,8.30 am,6.00 pm,8.30 am,8.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,8.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,8.30 am,7.00 pm,10.64,1
Chuan Hao Departmental Store,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cheers New Upper Changi Road,,,,,,,,,,,,,,,,,0.0,0
Cheers Haig Road,,,,,,,,,,,,,,,,,0.0,0
Afro Asia Co Pte Ltd,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Sixth Avenue,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Choa Chu Kang Drive,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Changi Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Yeo Soon Huat,,,,,,,,,,,,,,,,,0.0,0
U Stars Keat Hong Link,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Teo Khar Bee Agency,,,,,,,,,,,,,,,,,0.0,0
Tan Ah Leck Trading - Bukit Batok Street 11,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Springdale Garments Co,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Yishun N2 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Teban Gardens Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Jalan Tiga Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Ghim Moh Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Geylang Bahru Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Circuit Road 88 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Bukit Gombak Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
