outlet_name,detail_url,group1_wins,group2_wins,combined_wins
Livewire Singapore Pools,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTg4ODg%3d,10,48,58
Livewire Marina Bay Sands,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTI4MDEwMQ%3d%3d,10,40,50
Lee Eng Trading Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMDY%3d,10,44,54
Cheers Harbourfront Centre,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTkwNg%3d%3d,10,35,45
Singapore Pools Woodlands N5 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NzMwMg%3d%3d,9,39,48
Singapore Pools Toa Payoh Lorong 8 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5MzEwMg%3d%3d,9,34,43
Singapore Pools New Upper Changi Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NDYwMw%3d%3d,9,28,37
Singapore Pools Lorong 25A Geylang Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MzgwMQ%3d%3d,9,47,56
Singapore Pools Jurong West N4 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjQwMQ%3d%3d,9,53,62
Singapore Pools Clementi Town Centre Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MTIwMQ%3d%3d,9,68,77
Singapore Pools Bedok Town Centre Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NDE5Nw%3d%3d,9,54,63
NTUC FairPrice Lot 1 Shoppers' Mall,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MDU%3d,9,30,39
Nan Huat Wine Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU3MDI%3d,9,40,49
Evercool Engineering,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTMxMDU%3d,9,34,43
Tan Boon Tin Agency,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ0MDE%3d,8,23,31
Singapore Pools Pasir Ris N2 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NTEwMg%3d%3d,8,45,53
Singapore Pools Ang Mo Kio N7 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5NTYwNA%3d%3d,8,46,54
Singapore Pools Ang Mo Kio N2 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5NTYwMQ%3d%3d,8,43,51
Seah Geok Eng Agency - Rivervale Plaza,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUzMDQ%3d,8,42,50
NTUC FairPrice White Sands,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUxMDQ%3d,8,39,47
NTUC FairPrice Sun Plaza,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc1MDI%3d,8,34,42
NTUC FairPrice Jurong Point,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY0MDg%3d,8,64,72
NTUC FairPrice Bedok North Street 4,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ2MDI%3d,8,23,31
Giant Sunshine Place,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MDc%3d,8,25,33
Cheers Hougang Central,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUzMTI%3d,8,45,53
Vitatron & Medical Co,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUxNg%3d%3d,7,28,35
Teo Sook Cheng Agency,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc2MDI%3d,7,65,72
Soh Choo Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTczMDk%3d,7,37,44
Singapore Pools Tampines N4 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NTIwMQ%3d%3d,7,20,27
Singapore Pools Serangoon Central Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5NTUwMQ%3d%3d,7,41,48
Singapore Pools Potong Pasir Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5MzUwMQ%3d%3d,7,17,24
Singapore Pools Lucky Plaza Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MjE5OQ%3d%3d,7,67,74
Singapore Pools Holland Drive Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MjcwMg%3d%3d,7,56,63
Singapore Pools Bukit Panjang Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NjcwMQ%3d%3d,7,46,53
Singapore Pools Bishan N2 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5NTcwMg%3d%3d,7,36,43
Singapore Pools Ang Mo Kio N4 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5NTYwMg%3d%3d,7,45,52
Singapore Pools Anchorvale Road Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NTQwMQ%3d%3d,7,25,32
Seah Koon Huat - Bukit Merah View,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1MTM%3d,7,29,36
Prime Punggol Field,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTgyMDE%3d,7,26,33
NTUC FairPrice Tanjong Pagar Plaza,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTgwNw%3d%3d,7,22,29
NTUC FairPrice Bukit Merah Central,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1MTI%3d,7,33,40
Metro Woodlands,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTczMDY%3d,7,29,36
Livewire (Resorts World Sentosa),https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTI4MDkwMQ%3d%3d,7,35,42
Kis Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQwMw%3d%3d,7,23,30
Clifford Gift Shop,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU2MDQ%3d,7,48,55
Cheers Changi Village Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUwMDI%3d,7,39,46
7-Eleven Store Owen Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTIxMDY%3d,7,16,23
Xie Sheng Departmental Service Company,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ3MDE%3d,6,27,33
Singapore Pools Woodlands N3 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NzMwMQ%3d%3d,6,47,53
Singapore Pools LOT One Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NjIwMw%3d%3d,6,21,27
Singapore Pools Jurong West N2 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjQwMg%3d%3d,6,16,22
Singapore Pools Jurong East Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjAwMg%3d%3d,6,45,51
