outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Laura's Gifts,510442,Authorised Retailer,14,32,46,matched,1.36893288711175,103.957951722203,442 PASIR RIS DRIVE 6 SINGAPORE 510442,PASIR RIS,EAST REGION,OK,554637,0,33122,82924,50149,129,0.9718,1599188,123767,48784,256272,243009,374,0.9164,3288324,559678,97322,365840,969313,535,0.8458,residential,residential,5,0.122995
Singapore Pools Suntec City Branch,038983,Branch,13,38,51,matched,1.29485990186642,103.860333693777,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,DOWNTOWN CORE,CENTRAL REGION,OK,0,373629,0,0,193,0,0.0,94967,738316,80098,118496,299022,12,0.1478,479320,1086039,169284,444541,1604228,74,0.3251,commercial,commercial,5,4.25
Singapore Pools People's Park Centre (Chinatown) Branch,058357,Branch,13,83,96,matched,1.28549527021288,103.843851997218,101 UPPER CROSS STREET CHINATOWN POST OFFICE SINGAPORE 058357,OUTRAM,CENTRAL REGION,OK,53183,219908,76120,49405,107312,22,0.2613,302133,811859,163042,280192,255724,45,0.3004,1106837,1218079,210207,745682,844879,158,0.4781,commercial,commercial,5,2.133333
NTUC FairPrice Tampines Mall,529510,Authorised Retailer (FairPrice),13,65,78,matched,1.35250468330971,103.944682574769,4 TAMPINES CENTRAL 5 GOLDEN VILLAGE (GV TAMPINES) SINGAPORE 529510,TAMPINES,EAST REGION,OK,265893,169877,35313,40700,117067,56,0.6019,1593682,169877,129050,284780,317109,310,0.8761,3646360,352505,251320,526070,570224,760,0.8875,residential,residential,5,0.251613
7-Eleven Store Eunos Crescent,401001,Authorised Retailer (7-Eleven),13,35,48,matched,1.32129030482793,103.902727807563,1A EUNOS CRESCENT SINGAPORE 401001,GEYLANG,CENTRAL REGION,OK,424557,10132,0,68275,16519,51,0.9767,1557122,298903,65336,152382,53556,139,0.8274,3344984,1159884,77753,301653,136096,231,0.7384,residential,residential,5,0.345324
Singapore Pools Toa Payoh Lorong 1 Branch,310111,Branch,12,49,61,matched,1.34123713837195,103.845306137194,111 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310111,TOA PAYOH,CENTRAL REGION,OK,467695,57587,0,105788,6127,67,0.8904,1569535,202067,621,506008,115265,230,0.8858,3180066,504346,64953,874619,423014,417,0.8568,residential,residential,5,0.265217
Singapore Pools Hougang N1 Branch,530106,Branch,12,47,59,matched,1.3537029714401,103.890680792553,106 HOUGANG AVENUE 1 SINGAPORE 530106,HOUGANG,NORTH-EAST REGION,OK,261690,387136,6463,31050,19622,47,0.4043,1015901,1054033,83797,180993,88410,118,0.4911,2371483,2063370,138037,341266,124856,177,0.5337,mixed,commercial,5,0.5
Singapore Pools Clementi N7 Branch,120722,Branch,12,37,49,matched,1.30297959881951,103.76371403028,722 CLEMENTI WEST STREET 2 SINGAPORE 120722,CLEMENTI,WEST REGION,OK,386354,86084,51438,63795,29336,36,0.7866,839460,392942,51438,255898,492648,67,0.6739,1547433,1003621,144370,561016,664519,155,0.6009,residential,residential,5,0.731343
NTUC FairPrice Toa Payoh HDB Centre,310500,Authorised Retailer (FairPrice),12,34,46,matched,1.33285542884681,103.847092284316,500 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310500,TOA PAYOH,CENTRAL REGION,OK,327310,71451,45015,42587,76291,83,0.7883,1486870,230950,106269,250073,227697,229,0.8443,3151712,365160,149301,817048,408225,419,0.88,residential,residential,5,0.200873
NTUC FairPrice Clementi Avenue 3,120451,Authorised Retailer (FairPrice),12,36,48,matched,1.31274380194655,103.76584669599,451 CLEMENTI AVENUE 3 NATIONAL UNIVERSITY POLYCLINICS (CLEMENTI POLYCLINIC) SINGAPORE 120451,CLEMENTI,WEST REGION,OK,465534,3788,57538,59347,100814,77,0.9382,1673724,3788,127428,498060,178049,196,0.9626,2884700,572225,202558,1020973,389072,256,0.816,residential,residential,5,0.244898
Singapore Pools Yishun N1 Branch,760101,Branch,11,58,69,matched,1.4305357538408,103.827667722074,101 YISHUN AVENUE 5 SINGAPORE 760101,YISHUN,NORTH REGION,OK,391837,2044,50385,53281,22401,64,0.9387,1120570,39548,50440,194404,110071,167,0.9465,1845813,239558,192080,356958,227658,330,0.8526,residential,residential,5,0.413174
Singapore Pools Whampoa Drive Branch,320088,Branch,11,54,65,matched,1.32324726968904,103.855171553668,88 WHAMPOA DRIVE SINGAPORE 320088,NOVENA,CENTRAL REGION,OK,439475,38363,42818,61971,27351,63,0.8852,1627513,68751,70154,300164,227197,217,0.9412,2989496,672288,167922,757400,398307,400,0.8025,residential,residential,5,0.299539
Singapore Pools Teck Whye Branch,680141,Branch,11,48,59,matched,1.38041161319004,103.75257991701,141 TECK WHYE LANE SINGAPORE 680141,CHOA CHU KANG,WEST REGION,OK,440268,0,39224,95245,21578,96,0.9591,1341046,24169,81634,349117,174558,206,0.9551,2998090,49670,158144,542807,472560,477,0.9598,residential,residential,5,0.286408
Singapore Pools Tanjong Pagar Branch,082001,Branch,11,61,72,matched,1.27568847511494,103.842433449984,1 TANJONG PAGAR PLAZA MULTI STOREY CAR PARK SINGAPORE 082001,OUTRAM,CENTRAL REGION,OK,154759,198299,30056,44450,24786,37,0.4432,317319,547882,65804,336325,164509,55,0.3762,757621,901212,123894,456011,307326,121,0.4597,mixed,commercial,5,1.309091
Singapore Pools Jurong West N5 Branch,640508,Branch,11,64,75,matched,1.34872718063365,103.718715391434,508 JURONG WEST STREET 52 HONG KAH POINT SINGAPORE 640508,JURONG WEST,WEST REGION,OK,649973,0,46859,81056,25440,87,0.9664,1532549,134820,129792,322581,171821,229,0.8889,2327384,1014169,196125,612717,395796,379,0.6856,residential,residential,5,0.327511
Singapore Pools IMM Branch,609601,Branch,11,45,56,matched,1.33487526118006,103.746894773008,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,JURONG EAST,WEST REGION,OK,553,292975,0,63528,40347,14,0.0019,398597,868603,55941,122930,75291,87,0.3224,1350286,1561972,99906,250659,279924,221,0.4649,commercial,commercial,5,0.643678
Singapore Pools Hougang N2 Branch,530211,Branch,11,56,67,matched,1.35962289225618,103.887717332865,211 HOUGANG STREET 21 KOVAN CITY SINGAPORE 530211,HOUGANG,NORTH-EAST REGION,OK,468390,0,94892,48720,21025,41,0.9158,1813159,509915,113837,176596,99945,133,0.7674,3413360,1501585,185811,362320,272795,280,0.6874,residential,residential,5,0.503759
NTUC FairPrice Yishun MRT Station,769093,Authorised Retailer (FairPrice),11,49,60,matched,1.42944308477331,103.835005047246,301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,YISHUN,NORTH REGION,OK,353806,14894,79431,56657,61080,88,0.8781,1348952,16937,172486,324985,225175,322,0.9329,2942168,489309,279932,511800,461219,592,0.8304,residential,residential,5,0.186335
NTUC FairPrice Jurong Gateway Road,600135,Authorised Retailer (FairPrice),11,46,57,matched,1.33375343883095,103.739371388475,135 JURONG GATEWAY ROAD KLCII JURONG CAMPUS SINGAPORE 600135,JURONG EAST,WEST REGION,OK,197274,40431,55941,18742,21201,15,0.7671,617347,308247,55941,118983,243754,102,0.6575,1855004,879297,129702,193360,666926,217,0.6703,residential,residential,5,0.558824
Jake Merchandise Associates,520503,Authorised Retailer,11,42,53,matched,1.3558033565401,103.945102946956,503 TAMPINES CENTRAL 1 TAMPINES HEART SINGAPORE 520503,TAMPINES,EAST REGION,OK,352018,161736,35313,58464,107524,61,0.6733,1573949,169877,77315,175488,435723,335,0.8855,3558802,192220,251260,570492,590004,772,0.9206,residential,residential,5,0.158209
7-Eleven Store Yishun Ring Road,760103,Authorised Retailer (7-Eleven),11,51,62,matched,1.43136934951878,103.828892847163,103 YISHUN RING ROAD SINGAPORE 760103,YISHUN,NORTH REGION,OK,523226,2044,50385,61710,20701,83,0.9527,1281057,39548,91239,238871,132145,185,0.9397,2185151,320033,201084,404206,240643,376,0.8446,residential,residential,5,0.335135
Wanrise,380047,Authorised Retailer,10,41,51,matched,1.31794121263529,103.879025382959,47 SIMS PLACE SIMS VISTA SINGAPORE 380047,GEYLANG,CENTRAL REGION,OK,207641,167670,0,57513,8765,24,0.5533,1253370,755141,3412,250094,74766,111,0.6238,2673301,1390029,11290,373181,290299,286,0.6575,mixed,residential,5,0.459459
Tay Sui Lan Agency,049317,Authorised Retailer,10,45,55,matched,1.283619583733,103.852068945868,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,DOWNTOWN CORE,CENTRAL REGION,OK,4716,210061,0,21839,103962,0,0.022,39471,609192,40030,168689,371974,11,0.0864,234408,1398690,153075,309499,1282639,47,0.1741,commercial,commercial,5,5.0
Tampines Trading - 828,520828,Authorised Retailer,10,53,63,matched,1.34893084103853,103.934588111014,828 TAMPINES STREET 81 SINGAPORE 520828,TAMPINES,EAST REGION,OK,411848,0,49837,397865,12053,105,0.946,1516843,29689,73733,466421,198049,300,0.9589,2599927,771020,160781,667892,858416,486,0.7589,residential,residential,5,0.21
Singapore Pools Woodlands 888 Branch,730888,Branch,10,51,61,matched,1.43712301500434,103.795314383823,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,WOODLANDS,NORTH REGION,OK,495512,0,15397,40025,60262,126,0.9849,1892446,90419,64941,225325,169231,446,0.94,2936589,793005,79474,774037,307206,623,0.7814,residential,residential,5,0.136771
Singapore Pools Tampines Mart Branch,529287,Branch,10,24,34,matched,1.35454944260132,103.959900189012,11 TAMPINES STREET 32 PLAYFACTO SCHOOL @ TAMPINES SINGAPORE 529287,TAMPINES,EAST REGION,OK,491558,0,16743,129054,28656,102,0.9835,1955002,156830,58745,224361,66711,267,0.9142,3816418,609166,107282,989556,183809,582,0.8538,residential,residential,5,0.127341
Singapore Pools Clementi N3 Branch,120325,Branch,10,46,56,matched,1.315096685325,103.766817400667,325 CLEMENTI AVENUE 5 SINGAPORE 120325,CLEMENTI,WEST REGION,OK,504801,3788,57538,41245,10107,96,0.9425,1507523,3788,151120,273569,168708,199,0.9523,3313731,332565,202558,928936,346522,252,0.8873,residential,residential,5,0.281407
Singapore Pools Bencoolen Branch,189646,Branch,10,58,68,matched,1.30166188823652,103.853356123694,180 BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189646,ROCHOR,CENTRAL REGION,OK,48844,197468,85158,109821,22119,15,0.2758,477376,960035,155507,279661,146874,54,0.3485,1096438,1390208,256936,1011360,671291,114,0.4465,commercial,commercial,5,1.259259
Rangoon Provision Shop,210681,Authorised Retailer,10,38,48,matched,1.3137206738217,103.855272733514,681 RACE COURSE ROAD SINGAPORE 210681,KALLANG,CENTRAL REGION,OK,303413,93069,2995,21327,77370,18,0.7633,1327401,442329,58398,218136,145829,149,0.7421,2412710,1107984,216794,629236,284744,283,0.6745,residential,residential,5,0.322148
NTUC FairPrice Bukit Batok MRT Station,659958,Authorised Retailer (FairPrice),10,30,40,matched,1.34903331201636,103.749566478309,10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,BUKIT BATOK,WEST REGION,OK,410406,54661,0,13062,87345,83,0.8825,1503213,290949,80299,210390,319636,289,0.8234,2944136,621579,176665,518438,995544,520,0.8103,residential,residential,5,0.138408
Livewire Singapore Pools,188994,Lottery Lobby,10,48,58,matched,1.30117342723628,103.851274599853,210 MIDDLE ROAD SINGAPORE POOLS BUILDING SINGAPORE 188994,ROCHOR,CENTRAL REGION,OK,134929,158572,76015,107698,16779,15,0.468,419117,728385,153369,716422,341989,48,0.3811,1179093,1438491,282153,1046893,656857,104,0.4553,mixed,commercial,5,1.208333
Livewire Marina Bay Sands,018972,Livewire,10,40,50,matched,1.28332249857386,103.857629111139,2 BAYFRONT AVENUE CRYSTAL PAVILION SOUTH SINGAPORE 018972,DOWNTOWN CORE,CENTRAL REGION,OK,0,9560,0,14705,75919,0,0.0,45495,387748,0,99375,838889,0,0.105,106992,1057128,34547,179975,1059652,8,0.1037,commercial,open,4,0.0
Lee Eng Trading Store,522201,Authorised Retailer,10,44,54,matched,1.35345315769813,103.953009918868,201B TAMPINES STREET 21 SINGAPORE 522201,TAMPINES,EAST REGION,OK,595817,0,42002,94712,26009,113,0.9671,2135063,42520,142595,287174,113455,383,0.9509,3505406,254946,194330,520615,501979,631,0.911,residential,residential,5,0.140992
Cheers Harbourfront Centre,099253,Authorised Retailer,10,35,45,matched,1.26401293230767,103.82005101011,1 MARITIME SQUARE CONSULATE-GENERAL OF THE REPUBLIC OF COTE D'IVOIRE SINGAPORE 099253,BUKIT MERAH,CENTRAL REGION,OK,58761,173210,1338,0,3542,0,0.2547,304352,218765,14323,20159,800511,9,0.5796,1119893,422419,14323,152323,1323774,66,0.724,mixed,open,5,5.0
Singapore Pools Woodlands N5 Branch,730548,Branch,9,39,48,matched,1.43044361849124,103.793804884379,548 WOODLANDS DRIVE 44 FC SINGAPORE 730548,WOODLANDS,NORTH REGION,OK,443382,0,15190,85204,63991,110,0.9834,1293808,113618,30587,368878,144971,250,0.9104,2336016,256195,74941,473392,257575,464,0.8899,residential,residential,5,0.192
Singapore Pools Toa Payoh Lorong 8 Branch,310212,Branch,9,34,43,matched,1.34064293639026,103.85433449712,212 LORONG 8 TOA PAYOH SINGAPORE 310212,TOA PAYOH,CENTRAL REGION,OK,358835,49296,0,92206,29064,62,0.8792,1568073,258157,20559,241238,106253,298,0.8546,3245345,534730,64953,734382,337993,500,0.8525,residential,residential,5,0.144295
Singapore Pools New Upper Changi Branch,462026,Branch,9,28,37,matched,1.3233383625591,103.934207271148,26 NEW UPPER CHANGI ROAD SINGAPORE 462026,BEDOK,EAST REGION,OK,260046,75980,117386,18402,79633,76,0.703,1666252,387331,198149,163215,157974,212,0.784,4299277,477148,344552,404028,249835,407,0.8732,residential,residential,5,0.174528
Singapore Pools Lorong 25A Geylang Branch,388251,Branch,9,47,56,matched,1.31549499038814,103.883256085887,62 LORONG 25A GEYLANG SINGAPORE 388251,GEYLANG,CENTRAL REGION,OK,376906,129308,3408,62504,7925,22,0.7429,1366174,505268,9329,218281,73368,137,0.7289,2776955,1196935,29514,417720,266162,266,0.6973,residential,residential,5,0.408759
Singapore Pools Jurong West N4 Branch,640498,Branch,9,53,62,matched,1.34833335760515,103.724307319237,498 JURONG WEST STREET 41 SINGAPORE 640498,JURONG WEST,WEST REGION,OK,374619,0,40924,108569,86612,72,0.9508,1407192,0,130874,287248,240592,218,0.9575,2756676,272676,201480,619524,1301935,404,0.8844,residential,residential,4,0.284404
Singapore Pools Clementi Town Centre Branch,120446,Branch,9,68,77,matched,1.31251305732378,103.764927758669,446 CLEMENTI AVENUE 3 SINGAPORE 120446,CLEMENTI,WEST REGION,OK,432508,3788,57538,37188,94113,70,0.9341,1666160,33782,144008,277695,201284,200,0.9426,2916488,692514,202558,1020973,393700,254,0.7917,residential,residential,5,0.385
Singapore Pools Bedok Town Centre Branch,460204,Branch,9,54,63,matched,1.32635909520616,103.929995919076,204 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460204,BEDOK,EAST REGION,OK,355098,116078,143484,26411,45564,73,0.6944,1755102,417566,277003,156456,142202,264,0.773,3723386,590850,344552,413581,363364,421,0.8362,residential,residential,5,0.238636
NTUC FairPrice Lot 1 Shoppers' Mall,689812,Authorised Retailer (FairPrice),9,30,39,matched,1.38493874036122,103.745022476677,21 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LIBRARY SINGAPORE 689812,CHOA CHU KANG,WEST REGION,OK,405645,17623,0,20208,130652,62,0.9584,1259567,48764,39224,179594,243694,285,0.9493,2732545,67371,47724,533903,409848,538,0.968,residential,residential,5,0.136842
Nan Huat Wine Store,570513,Authorised Retailer,9,40,49,matched,1.34946633905282,103.849467349041,513 BISHAN STREET 13 SINGAPORE 570513,BISHAN,CENTRAL REGION,OK,445950,107064,0,147620,14644,74,0.8064,1164150,284256,22747,361620,165444,191,0.799,2756071,537965,57191,873313,591594,388,0.8309,residential,residential,5,0.256545
Evercool Engineering,310095,Authorised Retailer,9,34,43,matched,1.33889072150034,103.848993316875,95 LORONG 4 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310095,TOA PAYOH,CENTRAL REGION,OK,587803,55049,0,40733,14369,109,0.9144,1582354,255633,63447,316499,223354,311,0.8489,3109994,614233,101627,813206,332862,480,0.8262,residential,residential,5,0.138264
Tan Boon Tin Agency,440056,,8,23,31,scraped,1.30560569433107,103.91537607851,56 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440056,MARINE PARADE,CENTRAL REGION,OK,375645,6545,0,185487,0,50,0.9829,1328736,13713,5165,224495,580296,71,0.9879,2705038,161380,27649,371899,679300,78,0.9395,residential,residential,5,0.43662
Singapore Pools Pasir Ris N2 Branch,510259,Branch,8,45,53,matched,1.36645364010349,103.964598499523,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,PASIR RIS,EAST REGION,OK,369248,163490,15662,62774,35115,71,0.6876,1603717,451979,48784,137355,102923,225,0.7736,3005274,912317,114064,952380,166525,432,0.7596,residential,residential,5,0.235556
Singapore Pools Ang Mo Kio N7 Branch,560726,Branch,8,46,54,matched,1.37278358482637,103.84644830631,726 ANG MO KIO AVENUE 6 SINGAPORE 560726,ANG MO KIO,NORTH-EAST REGION,OK,314202,19300,108154,10684,215938,59,0.8339,1421997,19300,249858,550566,278737,250,0.9147,3272248,84558,343112,931084,898622,463,0.9308,residential,residential,5,0.216
Singapore Pools Ang Mo Kio N2 Branch,560202,Branch,8,43,51,matched,1.36844644010937,103.844516260527,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,ANG MO KIO,NORTH-EAST REGION,OK,607928,19300,108154,33719,28069,101,0.9002,1303532,19300,210960,200730,735595,257,0.9186,3523215,198400,380365,904260,886373,529,0.9053,residential,residential,5,0.198444
Seah Geok Eng Agency - Rivervale Plaza,540118,Authorised Retailer,8,42,50,matched,1.3849334568541,103.901558018707,118 RIVERVALE DRIVE FC/MARKET RIVERVALE PLAZA SINGAPORE 540118,SENGKANG,NORTH-EAST REGION,OK,334600,0,15351,63536,58944,111,0.9781,1504806,72745,37888,184815,140070,356,0.9432,3066605,821492,102230,450944,400808,735,0.7813,residential,residential,5,0.140449
NTUC FairPrice White Sands,518457,Authorised Retailer (FairPrice),8,39,47,matched,1.3724564071358,103.949763493981,1 PASIR RIS CENTRAL STREET 3 PASIR RIS LIBRARY SINGAPORE 518457,PASIR RIS,EAST REGION,OK,324746,11525,0,0,20806,70,0.9657,1407122,11525,33122,122565,531475,245,0.9807,2818585,27786,101624,401704,1290713,659,0.9733,residential,residential,5,0.191837
NTUC FairPrice Sun Plaza,757713,Authorised Retailer (FairPrice),8,34,42,matched,1.44819666623789,103.819498634275,30 SEMBAWANG DRIVE SEMBAWANG LIBRARY SINGAPORE 757713,SEMBAWANG,NORTH REGION,OK,366454,0,8564,51604,91875,120,0.9886,1403712,314067,8564,162739,254069,260,0.8156,3204002,862580,44544,365067,291186,379,0.7848,residential,residential,5,0.161538
NTUC FairPrice Jurong Point,648331,Authorised Retailer (FairPrice),8,64,72,matched,1.33931504032005,103.705350996191,63 JURONG WEST CENTRAL 3 BOON LAY BUS INTERCHANGE SINGAPORE 648331,JURONG WEST,WEST REGION,OK,311033,45940,60340,7689,123142,84,0.8176,1158829,859843,70494,191109,182711,276,0.5716,2481524,2191069,142628,386374,334005,512,0.5302,mixed,residential,5,0.26087
NTUC FairPrice Bedok North Street 4,460089,Authorised Retailer (FairPrice),8,23,31,matched,1.33233468349262,103.938051284737,89 BEDOK NORTH STREET 4 SINGAPORE 460089,BEDOK,EAST REGION,OK,527741,0,37141,104485,20342,85,0.9671,1548656,127570,160495,225321,98943,225,0.8869,3240259,546148,306304,319581,400588,398,0.8291,residential,residential,5,0.137778
Giant Sunshine Place,680475,Authorised Retailer,8,25,33,matched,1.37805614752086,103.738931794069,475 CHOA CHU KANG AVENUE 3 KINDERLAND KINDERGARTEN (CHOA CHU KANG) SINGAPORE 680475,CHOA CHU KANG,WEST REGION,OK,530921,11337,0,64545,27140,129,0.9791,1403253,29656,0,234875,278994,255,0.9793,2300984,59030,57555,442904,558602,345,0.9637,residential,residential,4,0.129412
Cheers Hougang Central,530810,Authorised Retailer,8,45,53,matched,1.37160444105564,103.893647271883,810 HOUGANG CENTRAL ALJUNIED-HOUGANG TOWN COUNCIL (MAIN OFFICE) SINGAPORE 530810,HOUGANG,NORTH-EAST REGION,OK,379645,24019,45723,31369,18176,87,0.8957,1677332,24019,45723,204892,322086,294,0.9732,3281809,1134538,129158,683632,431675,528,0.7362,residential,residential,5,0.180272
