outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,x_svy21,y_svy21,geocode_status,proxy_500m,proxy_750m,proxy_1000m,proxy_1500m,area_type,region,pa_hdb_units,win_rate_1000m
NTUC FairPrice Bukit Batok MRT Station,NTUC FairPrice Bukit Batok MRT Station10 Bukit Batok Central #01-08 Bukit Batok MRT Singapore 659958,659958,Authorised Retailer (FairPrice),10,30,40,matched,1.34903331201636,103.749566478309,10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,BUKIT BATOK,18679.3223191258,36794.9260214306,OK,0,0,45585,45585,residential,WEST REGION,45585,0.00087748
Livewire Singapore Pools,Livewire Singapore Pools210 Middle Road #01-01 Singapore Pools Building Singapore 188994,188994,Lottery Lobby,10,48,58,matched,1.30117342723628,103.851274599853,210 MIDDLE ROAD SINGAPORE POOLS BUILDING SINGAPORE 188994,ROCHOR,29998.3431398869,31502.6721612159,OK,1995,3990,3990,3990,residential,CENTRAL REGION,1995,0.01453634
Livewire Marina Bay Sands,Livewire Marina Bay Sands2 Bayfront Avenue #01-01 Marina Bay Sands Singapore 018972,018972,Livewire,10,40,50,matched,1.28332249857386,103.857629111139,2 BAYFRONT AVENUE CRYSTAL PAVILION SOUTH SINGAPORE 018972,DOWNTOWN CORE,30705.5618437575,29528.814311415,OK,0,1995,1995,3990,residential,CENTRAL REGION,1995,0.02506266
Lee Eng Trading Store,Lee Eng Trading StoreBlock 201B Tampines Street 21 #01-1083 Singapore 522201,522201,Authorised Retailer,10,44,54,matched,1.35345315769813,103.953009918868,201B TAMPINES STREET 21 SINGAPORE 522201,TAMPINES,41320.296353179,37283.8180963211,OK,0,0,0,0,residential,EAST REGION,75342,0.0
Cheers Harbourfront Centre,Cheers Harbourfront Centre1 Maritime Square #01-82 Harbourfront Centre Singapore 099253,099253,Authorised Retailer,10,35,45,matched,1.26401293230767,103.82005101011,1 MARITIME SQUARE CONSULATE-GENERAL OF THE REPUBLIC OF COTE D'IVOIRE SINGAPORE 099253,BUKIT MERAH,26523.4179164171,27393.6533519011,OK,54157,54157,54157,54157,residential,CENTRAL REGION,54157,0.00083092
Singapore Pools Woodlands N5 Branch,Singapore Pools Woodlands N5 Branch548 Woodlands Drive 44 #02-04 Vista Point Singapore 730548,730548,Branch,9,39,48,matched,1.43044361849124,103.793804884379,548 WOODLANDS DRIVE 44 FC SINGAPORE 730548,WOODLANDS,23602.7169394372,45796.7423332836,OK,0,0,0,0,residential,NORTH REGION,70072,0.0
Singapore Pools Toa Payoh Lorong 8 Branch,Singapore Pools Toa Payoh Lorong 8 BranchBlock 212 Toa Payoh Lorong 8 #01-39 Singapore 310212,310212,Branch,9,34,43,matched,1.34064293639026,103.85433449712,212 LORONG 8 TOA PAYOH SINGAPORE 310212,TOA PAYOH,30338.8452441534,35867.0107659921,OK,0,0,42185,42185,residential,CENTRAL REGION,42185,0.00101932
Singapore Pools New Upper Changi Branch,Singapore Pools New Upper Changi BranchBlock 26 New Upper Changi Road #01-666/668 Singapore 462026,462026,Branch,9,28,37,matched,1.3233383625591,103.934207271148,26 NEW UPPER CHANGI ROAD SINGAPORE 462026,BEDOK,39227.9082619073,33953.7778714988,OK,0,0,64415,64415,residential,EAST REGION,64415,0.0005744
Singapore Pools Lorong 25A Geylang Branch,Singapore Pools Lorong 25A Geylang Branch62 Lorong 25A Geylang Road Singapore 388251,388251,Branch,9,47,56,matched,1.31549499038814,103.883256085887,62 LORONG 25A GEYLANG SINGAPORE 388251,GEYLANG,33557.5631846106,33086.3253955096,OK,0,31514,31514,31514,residential,CENTRAL REGION,31514,0.00177699
Singapore Pools Jurong West N4 Branch,Singapore Pools Jurong West N4 BranchBlock 498 Jurong West Street 41 #01-472 Singapore 640498,640498,Branch,9,53,62,matched,1.34833335760515,103.724307319237,498 JURONG WEST STREET 41 SINGAPORE 640498,JURONG WEST,15868.2522515813,36717.6398426108,OK,0,0,0,0,residential,WEST REGION,75206,0.0
