outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,x_svy21,y_svy21,planning_area,geocode_status
NTUC FairPrice Clementi Avenue 3,120451,Authorised Retailer (FairPrice),12,36,48,matched,1.31248109025097,103.765476495005,451 CLEMENTI AVENUE 3 CLEMENTI POLYCLINIC SINGAPORE 120451,20449.8200590517,32753.1106715389,,OK
Singapore Pools Yishun N1 Branch,760101,Branch,11,58,69,matched,1.4305357538408,103.827667722074,101 YISHUN AVENUE 5 SINGAPORE 760101,27371.1442933977,45806.8930951077,,OK
Singapore Pools Whampoa Drive Branch,320088,Branch,11,54,65,matched,1.32324726968904,103.855171553668,88 WHAMPOA DRIVE SINGAPORE 320088,30432.0176650314,33943.4877558779,,OK
Singapore Pools Teck Whye Branch,680141,Branch,11,48,59,matched,1.38041161319004,103.75257991701,141 TECK WHYE LANE SINGAPORE 680141,19014.8012396181,40264.5708438009,,OK
Singapore Pools Tanjong Pagar Branch,082001,Branch,11,61,72,matched,1.27568847511494,103.842433449984,1 TANJONG PAGAR PLAZA MULTI STOREY CAR PARK SINGAPORE 082001,29014.4129549386,28684.6724204067,,OK
Singapore Pools Jurong West N5 Branch,640508,Branch,11,64,75,matched,1.34872718063365,103.718715391434,508 JURONG WEST STREET 52 HONG KAH POINT SINGAPORE 640508,15245.933758907,36761.215448048,,OK
Singapore Pools IMM Branch,609601,Branch,11,45,56,matched,1.33487526118006,103.746894773008,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,18381.9356864095,35229.409786731,,OK
Singapore Pools Hougang N2 Branch,530211,Branch,11,56,67,matched,1.35962289225618,103.887717332865,211 HOUGANG STREET 21 KOVAN CITY SINGAPORE 530211,34053.9490069114,37965.7754739299,,OK
NTUC FairPrice Yishun MRT Station,769093,Authorised Retailer (FairPrice),11,49,60,matched,1.42944308477331,103.835005047246,301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,28187.6788169928,45686.0705381557,,OK
NTUC FairPrice Jurong Gateway Road,600135,Authorised Retailer (FairPrice),11,46,57,matched,1.333825407445,103.739676885744,135 JURONG GATEWAY ROAD J CONNECT SINGAPORE 600135,17578.6553312754,35113.3515920248,,OK
Jake Merchandise Associates,520503,Authorised Retailer,11,42,53,matched,1.3558033565401,103.945102946956,503 TAMPINES CENTRAL 1 TAMPINES HEART SINGAPORE 520503,40440.3264011843,37543.6496071685,,OK
7-Eleven Store Yishun Ring Road,760103,Authorised Retailer (7-Eleven),11,51,62,matched,1.43136934951878,103.828892847163,103 YISHUN RING ROAD SINGAPORE 760103,27507.4825517498,45899.0676108301,,OK
Wanrise,380047,Authorised Retailer,10,41,51,matched,1.31794121263529,103.879025382959,47 SIMS PLACE SIMS VISTA SINGAPORE 380047,33086.7216639528,33356.8071504477,,OK
Tay Sui Lan Agency,049317,Authorised Retailer,10,45,55,matched,1.283619583733,103.852068945868,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,30086.7610053467,29561.6592507306,,OK
Tampines Trading - 828,520828,Authorised Retailer,10,53,63,matched,1.34893084103853,103.934588111014,828 TAMPINES STREET 81 SINGAPORE 520828,39270.1753824092,36783.6692674812,,OK
Singapore Pools Woodlands 888 Branch,730888,Branch,10,51,61,matched,1.43712301500434,103.795314383823,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,23770.7139348229,46535.313734604,,OK
